,LUN,ADX,STORJ,EDG,TKN,SNGLS,PTOY,HMQ,1ST,RLC,CFI,MYST,GNO,BAT,GNT,ICN,MLN,REP,BNT,ETH
LUN,1.0,0.727111526693,0.21485175954,0.314614861083,0.483808998494,0.368217987793,0.510542142414,0.334947371372,0.295644906006,0.515752547338,0.545355506827,0.411127616219,0.148598236081,0.422938446078,0.333125094371,0.365764054458,0.349624231166,0.183142060204,0.290930664698,0.224330629319
ADX,0.727111526693,1.0,0.0676357127302,0.3026966129,0.459281316354,0.328398547561,0.389836175071,0.373632079755,0.253764334267,0.477065671239,0.513257625123,0.331040328714,0.230157546357,0.422482308628,0.356098528257,0.340665029079,0.242481235224,0.201701767915,0.278769344722,0.265531794266
STORJ,0.21485175954,0.0676357127302,1.0,0.258382409275,0.295426283449,0.404253816372,0.337000929427,0.306036362482,0.272098858505,0.398731719672,0.306510188881,0.328275327629,0.228368702205,0.264732320297,0.313987786614,0.230744631779,0.438023810217,0.396713454668,0.369972203086,0.335577480563
EDG,0.314614861083,0.3026966129,0.258382409275,1.0,0.292556675249,0.525772984581,0.47077111805,0.509284937437,0.431937778743,0.442544955186,0.445387989355,0.451405156444,0.37937661738,0.602764556255,0.53191084122,0.472605725994,0.420399493501,0.433622311691,0.48420663411,0.490401406004
TKN,0.483808998494,0.459281316354,0.295426283449,0.292556675249,1.0,0.397312210575,0.55570065615,0.361942567412,0.372974652411,0.585072830742,0.618196411993,0.43983028264,0.382473280865,0.566533013427,0.467910923763,0.431858700247,0.465456344357,0.31805221458,0.513792755864,0.492580943459
SNGLS,0.368217987793,0.328398547561,0.404253816372,0.525772984581,0.397312210575,1.0,0.606041828153,0.458828358445,0.431141351428,0.526363802361,0.511837863783,0.579696678038,0.432099301879,0.527687928812,0.63631700317,0.454930485651,0.486131836284,0.58070670625,0.569328253354,0.54889719981
PTOY,0.510542142414,0.389836175071,0.337000929427,0.47077111805,0.55570065615,0.606041828153,1.0,0.472722550769,0.512257452026,0.604596748273,0.645329791272,0.55529618995,0.40662475462,0.576233332887,0.612693095621,0.522784857302,0.536551538662,0.495188373951,0.562867382757,0.562741722625
HMQ,0.334947371372,0.373632079755,0.306036362482,0.509284937437,0.361942567412,0.458828358445,0.472722550769,1.0,0.588813995528,0.534952202361,0.47085829732,0.499793179871,0.534300215027,0.575262361721,0.566227411745,0.525182160173,0.491524414794,0.498768028723,0.571617601124,0.567049454157
1ST,0.295644906006,0.253764334267,0.272098858505,0.431937778743,0.372974652411,0.431141351428,0.512257452026,0.588813995528,1.0,0.5147491237,0.546697999428,0.520104904449,0.451710274725,0.521597220394,0.550279579307,0.487208417564,0.581051611968,0.593217173957,0.582015605091,0.579944907086
RLC,0.515752547338,0.477065671239,0.398731719672,0.442544955186,0.585072830742,0.526363802361,0.604596748273,0.534952202361,0.5147491237,1.0,0.624321281826,0.522500375562,0.456231300092,0.584766807731,0.579157471238,0.556773015903,0.552199805378,0.493911671581,0.59491614228,0.587579656404
CFI,0.545355506827,0.513257625123,0.306510188881,0.445387989355,0.618196411993,0.511837863783,0.645329791272,0.47085829732,0.546697999428,0.624321281826,1.0,0.534143503998,0.47676868406,0.649708075517,0.593743198454,0.567875288118,0.575722207608,0.469844097013,0.623013741916,0.597993536353
MYST,0.411127616219,0.331040328714,0.328275327629,0.451405156444,0.43983028264,0.579696678038,0.55529618995,0.499793179871,0.520104904449,0.522500375562,0.534143503998,1.0,0.417611737102,0.638710152626,0.626741781616,0.488335717119,0.570343619586,0.55557462838,0.658096651048,0.601698188389
GNO,0.148598236081,0.230157546357,0.228368702205,0.37937661738,0.382473280865,0.432099301879,0.40662475462,0.534300215027,0.451710274725,0.456231300092,0.47676868406,0.417611737102,1.0,0.475241478942,0.569957282577,0.525982560179,0.524391026251,0.451574301535,0.659071608758,0.662173435335
BAT,0.422938446078,0.422482308628,0.264732320297,0.602764556255,0.566533013427,0.527687928812,0.576233332887,0.575262361721,0.521597220394,0.584766807731,0.649708075517,0.638710152626,0.475241478942,1.0,0.642248225932,0.566569726389,0.572393521904,0.549461805007,0.665052876427,0.666772758001
GNT,0.333125094371,0.356098528257,0.313987786614,0.53191084122,0.467910923763,0.63631700317,0.612693095621,0.566227411745,0.550279579307,0.579157471238,0.593743198454,0.626741781616,0.569957282577,0.642248225932,1.0,0.608930066739,0.594963569466,0.62494629751,0.683974930752,0.686973486565
ICN,0.365764054458,0.340665029079,0.230744631779,0.472605725994,0.431858700247,0.454930485651,0.522784857302,0.525182160173,0.487208417564,0.556773015903,0.567875288118,0.488335717119,0.525982560179,0.566569726389,0.608930066739,1.0,0.610390021522,0.488360143636,0.699221792971,0.69616396815
MLN,0.349624231166,0.242481235224,0.438023810217,0.420399493501,0.465456344357,0.486131836284,0.536551538662,0.491524414794,0.581051611968,0.552199805378,0.575722207608,0.570343619586,0.524391026251,0.572393521904,0.594963569466,0.610390021522,1.0,0.549962513978,0.719766876305,0.701706335424
REP,0.183142060204,0.201701767915,0.396713454668,0.433622311691,0.31805221458,0.58070670625,0.495188373951,0.498768028723,0.593217173957,0.493911671581,0.469844097013,0.55557462838,0.451574301535,0.549461805007,0.62494629751,0.488360143636,0.549962513978,1.0,0.69586971661,0.702328027123
BNT,0.290930664698,0.278769344722,0.369972203086,0.48420663411,0.513792755864,0.569328253354,0.562867382757,0.571617601124,0.582015605091,0.59491614228,0.623013741916,0.658096651048,0.659071608758,0.665052876427,0.683974930752,0.699221792971,0.719766876305,0.69586971661,1.0,0.935510695338
ETH,0.224330629319,0.265531794266,0.335577480563,0.490401406004,0.492580943459,0.54889719981,0.562741722625,0.567049454157,0.579944907086,0.587579656404,0.597993536353,0.601698188389,0.662173435335,0.666772758001,0.686973486565,0.69616396815,0.701706335424,0.702328027123,0.935510695338,1.0
